제목,댓글,내용
주변에 빗썸 직원 있음.  가만 안둘것 같은데.   ㅅㅂ,,빗썸 거래소의 정체를 파해쳐 보고 싶네  - dc official App
빗섬 거래소는  정말로 이야기하는데,,"더이상 이용하지마라




지금 그냥 모든 코인 자전거래  봇으로




조지기만한다




니들 돈만 들어오면







이개새끼들은




그냥 포기했다 운영을




니들 돈만 발라먹기로







업비트도 마찬가지긴한데




빗섬이 존나 심하지"
더 떨어져봐 시발련아,,1000원에 매도 걸어놓을게 ㄲㅈ
내가 이래서 업비트 9시 단타만 딱 치고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,"그 이후엔 손도 안댄다




이렇게 안정적으로




손실없이




정확하게 아침에만 단타 치고




빠지면




마이너스가아니라




계속플러스라서




수익은 계속나지







돈잃는 새기들은







계속하니까 당한는거다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ







걍 익절했으면 쳐다도 안보고




다음 날 해야한다







그게 진짜 돈 버는 길이다 코인판은







니들이 얼마나 자신을 컨트롤 하느냐에 따라서 이게 갈리는건데




나처럼 할수있을까?




ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
빗썸 알트 하락 주범들.  신상 오픈좀 시켜라.  죽여 버리게,,ㅇㅇ  - dc official App
여기서 질리카 쏜다니뭐니 입출금이니 떠드는 애들 ㅋㅋㅋ,,"거의 99퍼가




거래소 알바거나




밑에서 하따잡은 애들인데







절대 안가니까




형 믿고 매수하지말거라




절대안간다







개미꼬시고~오르는척 전부 설거지임"
질리카저거 풀발상태인데 한300%찍어줄려나....너무오래 안쌌지?,,그동안 오래참았다.ㅋ  - dc official App
문버드 650 어카냐,,?- dc official App
내가 이래서  시드의 90퍼는 출금 싹다한거다  ㅋㅋ,,"이미 번 거라도




다 빼놓고




소액가지고만 이제 하지







거래소 조작이 심해도




너무심해서




풀시드로 절대안한다










조작펌핑 설거지+봇이




난이도가 존나높아서







걍 돈 진짜 갖다버리게된다 ㅋ







정신들차리고




코인하지말고 떠나거라 ㅋㅋㅋ"
어떤 개새끼가 아까 무비블록이라고 했냐,1,걸리면 뒤진다 십새꺄
한게임 바둑이 쳐보신분ㅋㅋ,,그 ~~~  으으 분이 요기 오오업빗트트레기  대표~~~ㅇ오오오 엿다는 ...  늦게 알앗다는 ㅎㅎ;나는 이제 훌훌 털고 종로를 떠난다네 아우들
너희들은 이걸 알아야한다 (진심으로),,"거래소가 먹여줄때가 있고




오늘처럼 개씹설거지 할때가 있는데




도박에 이미 중독되서




매매중독이 되었기때문에







니들은 설지지를 당할수밖에없는거임







그럼 여기서 답은




코인을 안하는거거란다




남은 돈이라도 챙겨서 떠나거라"
재인버드 ㅌㅌ해라 퇴각,,ㅇㅇ
예나 지금이나 참..주식 몬하는넘들 많긴하다ㅋㅋ,1,문버드같이 계단식하락인종목 적정가보다 30%정도 비싼상태인 업빗잡코 10%묵어볼라고 들어가는애들ㅋㅋㅋ 너만 그생각하것냐ㅎㅎ몇백짜리 짤짤이들어와서 술값건지려는 바닥인생들이겠지 근데 바로 물리지ㅋㅋ 돈을 안벌어봐서 그그래 소중한줄을 모르니 지식없이 도박처럼하는거고 아마 태반이 백수거나일용직이지대개공부 안했으면 그냥 주식류 하지마 짤짤이돈 다털려임마ㅋㅋㅋ 공부한다고 잘하는건 아니지만 최소한 돈은 안잃지통장에 현금31억 있는 사람이 조언한다진심ㅋㅋ
문버드 시밬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,웃음벨이네 ㄹㅇㅋㅋㅋㅋㅋㅋ 신규상장인대 저런거 첨봄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  - dc official App
업비트가 얼마나 악질인가 잘봐라 ㅋㅋㅋㅋ,,"일부러 시작가를 




존나 펌핑나온것처럼 존나 위에서 시작하는거봐라




ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ







개미들 수수료털려고




개같은 장난질하는거지




이런것만봐도







거래소 조작펌핑은 사실 당연한사실이지 ㅋ




안타깝다







지금은 개미 vs 거래소 구도이고







너희들은 절대 거래소 못이긴다




ㅋㅋㅋ"
아직도 코인하는 좆병신들이있노,,ㅉㅉ
하버드  못가서  문버드  코인  발행  ㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋ  - dc official App
앵커 씹 이거밖에안올라?,,ㅌㅌ
죄다 설거지 수고링,,ㅂㅂ
난 분명 다시 이야기하는데,,오늘은 진짜 피하라고했다설거지로 조져대니까 ㅋ
죄다 설거지 수고링,,ㅂㅂ
난 분명 다시 이야기하는데,,오늘은 진짜 피하라고했다설거지로 조져대니까 ㅋ
문버드 하버드  가고 싶었던 넘이  발행한  코인,,ㅇㅇ  - dc official App
난 분명이야기했다~지금 거래소는,,니들 설거지할려고프로그램 존나 돌린다는거잊지마라 ㅋ
내 나이 39. 코인 하다가 1억인가 날려먹었다,4,정신이 아득한게 뭔가 좀 그렇다
너희들은 절대 거래소 못이긴다 ( 팩트 ),,"정확하게 니들 심리 이용해서




조작 펌핑하고







자전거래,봇이 완벽하게 돌아가기떄문에







니들은 잠깐 벌어도







다시 분명히 잃게만든다







진짜 컨트롤 잘해서?




수익 계속 챙긴다?




ㅋㅋ







절대 불가능




결국 코인판은







벌어도 > 다시잃게 만드는 설거지장 







사람 심리이용해서




조지기때문에




너흰 절대 거래소못이긴다







번걸로 그냥 튀어라 ㅋ"
애@@미 씨벌 떨어지기만 하노,,하앙
문버드  적정가   .  30원,,ㅇㅇ  - dc official App
코인은 그냥 한 순간이다 ㅋㅋ,,인생조지기 딱 좋지 코인이 ㅋㅋ
진짜 내 아이디보고 터는 놈들 옵빗,,...
이름을  하버드  하려다   문버드로  했냐?  ㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋ  - dc official App
니들 도박심리 이용해서 죄다~설거지만한다 형믿어라,,ㅋㅋㅋ
ㅋㅋㅋㅋ오늘 코인하지마라,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱ
끝까지 설거지하는거봐라 앵커로 ㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
문버드  내돈  5천원.....,,..  - dc official App
문버드 갑자기 300퍼가는거아니냐이거?????갑자기왜올라,,ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ
문버드 지옥잘가시게 30원이 어울린다,,ㅋㅋㅋㅋ
낼 러시아 종전?,,ㅅㄱ
어어 재인아 밀지마라,,
앵커가 코인이 맞냐 ㅋㅋㅋ 평생 설거진데 ㅋㅋㅋㅋ,,ㄹㄹㄹㄹㅎ
와 헬스트레이너 이새끼들 ㄹㅇ 악질이네ㅡㅡ,,20살초 여동생있는데 헬스장 다니는데 트레이너한테 개인번호로 연락온다고함 PT받는것도아니고 그냥 입출입때 카운터에서 인사정도만 한건데 내가 바로전화해서 개인정보법 위반아니냐고 따지니 사과하더라 헬스장 옮겼는데 또 같은방식으로 연락옴 여동생 외모 그냥 평타정도인데도 이러네 진짜 변호사상담받고 고소진행해야되나 미친새끼들이네 진짜 다른곳 헬스도 여자에 미친넘들임? 운동해서 성욕 미친거냐? 여동생이나 여친이 20대면 절대 헬스나 운동하는곳 보내지마라 운동하는놈들 성욕 동물의왕국수준임
이번 달안에 무조건 업빗 탈출,,..
문버드 520,,갈꺼같누
곧 500깨지고 300간다,,옵빗 원래 그래
주식 종전주는 상가는데웨이브 보면 느끼는거 없냐 ㅋ 코인은 하지미,,ㅋㅋㅋㅋㅋㅌ
문버드 이름부터 정이안감,,죤나 대충 만든 느낌
지금 코인판이 왜 난이도가 존나 높은지 이야기해주마,2,"개미들이 많을때는 무지성 펌핑




개미들 먹여주는게 나옴




왜?




거래소가 조금만 올려줘도 개미들이 드글드글해서




어느정도 올라가기때문에




대충 올려줘도 수익이거든 거래소는







근데 지금 장 꼬라지봐라




개미 다 빠져나가고




올렸다하면 다 단타치고 빠진다







자 그러면




올려주는 거래소 입장에서는







올려주면 뭐? 개병신이지 ㅋㅋㅋ




니들이 다먹튀는데




어느병신들이 니들 먹여줄려고 그짓거리하노 ㅋㅋ










그니까




올려줘도 개같이 털고 털고 




진짜 개털고




펌핑이나와도 나오는거임







말그대로




봇+자전거래가 장난아니게 돌아가는거다 타이트하게







니들이 여기와서 돈번다는건




사실상 불가능이다







벌어도 다시 털린다







거래소는 니들 심리를 정확히알거든







지케이싱크 출금막고 펌핑나왔으니까




또 




곧바로 조작질하는거라 ㅋㅋ




질리카




이건 절대 안올리지 왜?







입출금은 오늘 6시 이후인데




그전에 펌핑나왔다는거 자체가







이미 작전을 다짜놨다는거임




지케이는 당일날 나왔고 ㅋㅋ







이런데서 코인고수랑 뉴비들이랑 차이인거여










모든건 거래소조작인데




코인판 하지마라







니들 거래소 못이긴다




돈만들어가면 꼽고




빼면 올리고




업비트+빗섬+바낸




한통속




아직도 못믿는 흑우없제 ㅋㅋ







개추 ㅋㅋ"
내 돈 내놔.  문버드  10뇬아,,..  - dc official App
문버드 5천원 샀는데  손실이 너무  크다,,..  - dc official App
문버드 씹스캠인데 빨리 팔고 텨라 ㅋㅋㅋㅋ,,최고점  - dc official App
아 문재인앵그리버드 제대로 물렸다,,손발이 벌벌 떨린다- dc official App
삼전 봤냐?  ㅡ  코인을 대체누가해 다설거진데 ㅋㅋㅋㅋ,,ㄴㄴㄴㅈ
피같은 돈.  거래소의 사기 상장쇼에  다 털리지 마라.,,병신 같이  - dc official App
내가 아니라 업빗이 개박살 나길 기원,,...
질리카 10원 딱 기분좋다,,개기는거 보니 계단식으로 내일 15원 이상일듯 ㅇㅅㅇ
업빗 사회악과 싸우고 늘 패배하는 느낌,,...
처음으로 알트사봄,,이게 현실이구나 - dc official App
ㅋㅋ이개병신들은 능지가 개병신인가 ㅋㅋㅋㅋㅋ,,"ㅋㅋㅋ누가 신규상장을




올려줘?




누가?




왜?ㅋㅋㅋ







니들 개미털어먹는게 거래소목적인데




니들 먹여줄려고 펌핑시켜줘?







먹고 다빠지는데?단타치고 ㅋㅋㅋㅋㅋ







올려주는게 십손해지




븅신들아




그래서 펌핑이없는거다 ㅋ"
방금 세력한테 연락받았다.,,질리카 육봉 바뀌로 7시부터 달린댄다- dc official App
알트는 어차피 0원화 인데  돈 써가며 살 필요가 있는가 ?,,??  - dc official App
문버드 500깨짐,,...
자~거래소 자전거래(수수료털어먹기) 모든 코인 시작 ㅋㅋ,,매수하면 개애미뒤진 십ㅇ신 ㅋㅋㅋ
코인판은 하루빨리 떠나는 사람이 승자여 ㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ23
문재앙 새끼,,코인판까지 기어들어오노- dc official App
바운드리스 친구 .  문버드,,ㅇㅇ  - dc official App
ㅋㅋ코인판 답이없구나 역시나,,떠나야지 ㅄ
문버드 상장,,빗썸도 6시에 상장함6시에 질리카 가두리도 되고상장하고 하고6시가 약속의 시간됨
ㅋㅋ절대 매수하지마라 죄다 개미꼬시기 설거지다,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
아스타는 뭐지 ㅡ 저런 코인이 오르긴함? ㅋㅋㅋ 20배 숏,,ㅋㅋㅋㅋ
내일 웨이브 종전빔나오는날,,ㅅㅅㅅ
내일 웨이브 종전빔나오는날,,ㅅㅅㅅ
문버드 갑자기 300퍼가는거아니냐이거?????갑자기왜올라,,ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ
문버드 =  바운드리스,,..  - dc official App
스택스 꾸역꾸역 시동,,...
아 씨발 문버드 710원에 800만치 사고 지금 보니까,,개 좆같네 씨발거 도박 잘되길 기도했는데 씨발 개 좆망했네펌핑도 안시키고 씨발 새끼들 하…..
코인판이 거래소 조작인 이유 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,"입출금 막자마자




펌핑이 딱 맞춰ㅅ ㅓ나옴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ







세력? 세력이 무슨 씨발 그 공지 시간을 어찌알고




딱 그 시간에 맞춰서 바로올려 ㅋㅋ







세력따윈 1도없다 코인판은 ㅋㅋ







걍 거래소가 개씹조작하는거임










바이낸스+업비트+빗섬




다 한통속이지 ㅋ




ㅋㅋㅋ"
재앙버드 +523% 쏜다 가보자~~@@,,- dc official App
진짜 코인판이 개쓰레기긴하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
아 문버드 이거그냥 놔둬? 아님손절해?,,지금손절하는게맞음?  - dc official App
이름부터 문버드,,...
ㅋㅋ쏘는 첛 수수료만 털어먹는거봐랔 ㅋㅋㅋㅋ,,ㅋㅋ진짜 개새기들이라니까거래소 십새들 ㅋ
문버프 김프 몇퍼냐;;;;; 30퍼 520원인데지금; ㄷㄷ,,ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ
뻠삥 아니라 ...,,....
문버드 튀어라,,반토막 난다- dc official App
문버드  7시    310원.,,..  - dc official App
30분 안에 400,,...
펌핑없으니까 다 꺼져 병신들아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
봐라 글 쓰자말자 나락,,업빗 늘 이래.
세이도 지갑닫혔다 가두리가즈아!!!!!!!!!!,,세이도 지갑닫혔다 가두리가즈아!!!!!!!!!!
문버드 저러다가 급폭락 언제나 같은 시나리오,,업빗 창의력 좀...
상장코인 아직도 믿는 십병신들 어휴 ㅋㅋㅋ,,대가리에 똥만찬새기들 ㅇㅋㅋㅋ
문버드 가즈아 1200원 가주아,,639 전액매수
질리카 거래량은 왜저럼?,,50원 쏠때보다 많노
상장을 왜하지 ㅡ 어차피 떡락인데,1,ㅉㅈㅈㅈ
이미  상장 시작가의  100% 이상 올리고선 사라고 하는 악마들 !!,,니들 돈으로 사라  - dc official App
"질리카에서 먹고 앵커로 갈아탓는데 올라갈라나,,",,ㅇㅇ
코린이들이 확실이많네 질리카 ㅋㅋㅋ,,"입출금 막히자마자 올린것도아니고







딱봐도




세력새기들이




선펌핑하고




지케이싱크 이용해서




작전한건데 (선펌핑)




또간다고 생각하는 개병신들 참 ㅋㅋ"
비트코인 올를때,,비트코인 오를때  내린놈들이비트코인  내릴때  또 내리고도데체 이런놈들은 언제 오르냐?사기냐?ㅋㅋ
계ㅡㅡㅡ원ㅡㅡㅡ여ㅡㅡㅡㅡ고,,ㅇㅇ
문버드는 용자들만  살 수 있다 !!,,.  - dc official App
문버드 날개짓도 못하는,,날개없는 달새
업비트 상장 1시간 후 숏,,승률 200%
너넨 아직도 이지랄중임?,,대체 코인판에서 분석은 왜함?걍 이름 이쁜거 하나골라잡고 떡상하길 기도하는거아님?
질리카ㅜ내려라,,꽂는다ㅠ- dc official App
이미.질리카. 선 펌핑나옴,,븅들아
문버드  사줘서.  물려줘라.    ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,쇼 까지 하는데...  - dc official App
안간다고 병신새기들아 질리카,,",ㅋ"
잘먹고 갑니다...,,
문재앙 물탄새끼는 걍 평생 투자랑 절연해야될듯...,,혹해서 사볼 수는 있는데지금도 안팔고 버티고있는건 지능이 말 안되는거다...
문버드 600깨지고 질리카 12가고,,...
질리카 개미꼬시고 대폭락,,ㅋㅋ
문크버드 부엉이바위 뭔데,,ㅋㅋㅋㅋ
업빗 신규는 곤두박 설겆이 늘,,...
쿼크나 살려내라! 문새 고만 괴롭히고!,,ㅇㅇ- dc official App
질리카 안간다고 이야깋햇다,,ㅋㅋ
어떻게 맨날 똑같냐 신규 등장 얼마 후 기존 1등 다시 힘 받고 신규 설,,맨날 똑같은 판 그래도 박살나는 건 업빗이 약간의 상상력은있다 생각해서   그랬는 데 그냥 무대포로 밀고 나감
문버드 350원 시작가 인데  .   도둑넘들.  사게 하려고 쇼한다.,,..  - dc official App
신규를 타는 놈이 있긴해?,,??
지금 수익볼수있는코인,,앵커 지금 개쏜다 느낌좋다 잡아라
